#Year, Host_Country, Match_ID, Type, Date, Location, Team 1,Team 2, Score 1,Score 2
1954,Switzerland,1,Group 1,1954-06-16,Charmilles Stadium,Brazil,Mexico,5,0
1954,Switzerland,2,Group 1,1954-06-16,Stade Olympique de la Pontaise,Yugoslavia,France,1,0
1954,Switzerland,3,Group 1,1954-06-19,Stade Olympique de la Pontaise,Brazil,Yugoslavia,1,1
1954,Switzerland,4,Group 1,1954-06-19,Charmilles Stadium,France,Mexico,3,2
1954,Switzerland,5,Group 2,1954-06-17,Wankdorf Stadium,West Germany,Turkey,4,1
1954,Switzerland,6,Group 2,1954-06-17,Hardturm Stadium,Hungary,South Korea,9,0
1954,Switzerland,7,Group 2,1954-06-20,St. Jakob Stadium,Hungary,West Germany,8,3
1954,Switzerland,8,Group 2,1954-06-20,Charmilles Stadium,Turkey,South Korea,7,0
1954,Switzerland,9,Group 2,1954-06-23,Hardturm Stadium,West Germany,Turkey,7,2
1954,Switzerland,10,Group 3,1954-06-16,Wankdorf Stadium,Uruguay,Czechoslovakia,2,0
1954,Switzerland,11,Group 3,1954-06-16,Hardturm Stadium,Austria,Scotland,1,0
1954,Switzerland,12,Group 3,1954-06-19,Hardturm Stadium,Austria,Czechoslovakia,5,0
1954,Switzerland,13,Group 3,1954-06-19,St. Jakob Stadium,Uruguay,Scotland,7,0
1954,Switzerland,14,Group 4,1954-06-17,St. Jakob Stadium,England,Belgium,4,4
1954,Switzerland,15,Group 4,1954-06-17,Stade Olympique de la Pontaise,Switzerland,Italy,2,1
1954,Switzerland,16,Group 4,1954-06-20,Wankdorf Stadium,England,Switzerland,2,0
1954,Switzerland,17,Group 4,1954-06-20,Cornaredo Stadium,Italy,Belgium,4,1
1954,Switzerland,18,Group 4,1954-06-23,St. Jakob Stadium,Switzerland,Italy,4,1
1954,Switzerland,19,Quarter-finals,1954-06-26,Stade Olympique de la Pontaise,Austria,Switzerland,7,5
1954,Switzerland,20,Quarter-finals,1954-06-26,St. Jakob Stadium,Uruguay,England,4,2
1954,Switzerland,21,Quarter-finals,1954-06-27,Charmilles Stadium,Yugoslavia,West Germany,0,2
1954,Switzerland,22,Quarter-finals,1954-06-27,Wankdorf Stadium,Brazil,Hungary,2,4
1954,Switzerland,23,Semi-finals,1954-06-30,St. Jakob Stadium,West Germany,Austria,6,1
1954,Switzerland,24,Semi-finals,1954-06-30,Stade Olympique de la Pontaise,Hungary,Uruguay,4,2
1954,Switzerland,25,Match for third place,1954-07-03,Hardturm Stadium,Uruguay,Austria,1,3
1954,Switzerland,26,Final,1954-07-04,Wankdorf Stadium,Hungary,West Germany,2,3
1958,Sweden,27,Group 1,1958-06-08,Malmö Stadion,West Germany,Argentina,3,1
1958,Sweden,28,Group 1,1958-06-08,Örjans Vall,Northern Ireland,Czechoslovakia,1,0
1958,Sweden,29,Group 1,1958-06-11,Örjans Vall,Argentina,Northern Ireland,3,1
1958,Sweden,30,Group 1,1958-06-11,Olympiastadion,West Germany,Czechoslovakia,2,2
1958,Sweden,31,Group 1,1958-06-15,Malmö Stadion,West Germany,Northern Ireland,2,2
1958,Sweden,32,Group 1,1958-06-15,Olympiastadion,Czechoslovakia,Argentina,6,1
1958,Sweden,33,Group 1,1958-06-17,Malmö Stadion,Northern Ireland,Czechoslovakia,2,1
1958,Sweden,34,Group 2,1958-06-08,Idrottsparken,France,Paraguay,7,3
1958,Sweden,35,Group 2,1958-06-08,Arosvallen,Yugoslavia,Scotland,1,1
1958,Sweden,36,Group 2,1958-06-11,Arosvallen,Yugoslavia,France,3,2
1958,Sweden,37,Group 2,1958-06-11,Idrottsparken,Paraguay,Scotland,3,2
1958,Sweden,38,Group 2,1958-06-15,Eyravallen,France,Scotland,2,1
